,,,,,,tally,,,Professional Oracle,(normalizing),
2.5,rating:2.5,3,2,3,,3,,,3,3.9,0
,,,,,,,,,,,
4.375,rating:4.375,0,5,5,,3,,,2,2.9,0
,,,,,,,,,,,
3.75,rating:3.75,4,4,2,,2,,,3,3.9,1
,,,,,,,,,,,
5,rating:5,5,2.5,3.5,,1,,,3,3.9,0
,,,,,,,,,,,
3.125,rating:3.125,3,2,2,,1,,,4,4.9,0
,,,,,,,,,,,
4.375,rating:4.375,0,3,4,,2,,,4,4.9,1
,,,,,,,,,,,
4.375,rating:4.375,2,2.5,2,,0,,,4,4.9,1
,,,,,,,,,,,
3.75,rating:3.75,0,1,0,,0,,,2,2.9,1
,,,,,,,,,,,
4.375,rating:4.375,5,5,5,,3,,,3,3.9,1
,,,,,,,,,,,
3.75,rating:3.75,1,1,3,,1,,,3,3.9,1
,,,,,,,,,,,
3.375,rating:3.75,2.5,4,3,,2,,,3,3.9,1
,,,,,,,,,,,
4.375,rating:4.375,5,5,3,,2,,,1,1.9,0
,,,,,,,,,,,
3.475,rating:4.375,4,4,5,,3,,,4,4.9,0
,,,,,,,,,,,
3.475,rating:4.375,4,5,5,,3,,,3,3.9,1
,,,,,,,,,,,
3.125,rating:3.125,4,2.5,3,,3,,,1,1.9,0
,,,,,,,,,,,
4.375,rating:4.375,1,2,1.5,,0,,,3,3.9,1
,,,,,,,,,,,
1.875,rating:1.875,2,1.5,3,,2,,,4,4.9,0
,,,,,,,,,,,
4.375,rating:4.375,0,5,4,,3,,,4,4.9,1
,,,,,,,,,,,
5,rating:5,3,3.5,3.5,,0,,,3,3.9,0
,,,,,,,,,,,
5,rating:5,4,2,3,,1,,,3,3.9,0
